review,tokens,food,service,ambience,price
Good food and great service,"food,service",1,1,0,0
Incredible meal.  We had Sunday brunch which was absolutely delicious! You must try the BEC Eggrolls.  Our server was wonderful. Thanks for a great morning Noah!,"meal,brunch,server,thanks,morning",1,1,0,0
Farm to table with innovative recipes. We enjoyed pleasant combinations of flavors and textures we have never experienced before. The waitress was very friendly and helpful. I also greatly enjoyed the music playlist. I hear it takes a while to get a reservation but it is well worth the wait.,"farm,recipes,combinations,flavors,textures,waitress,music,playlist,reservation",0,1,1,0
"""Great delicious food and atmosphere... cute outdoor area and lovely staff","food,atmosphere,area,staff",1,1,1,0
"""Great delicious food and atmosphere... cute outdoor area and lovely staff but slow service need to improve","food,atmosphere,area,staff,service",1,1,1,0
"Really cool outdoor space, great service and ambiance, and the food was terrific. I am still very COVID cautious and I felt safe the whole time, really appreciated the whole experience!","space,service,ambiance,food,time,experience",1,1,1,0
"Hard to review this fine establishment.On one hand you can feel the very high quality ingredients, the professional cooking and the attention to the food and details.","establishment,hand,quality,ingredients,cooking,attention,food,details",1,0,0,0
amazing places,places,0,0,1,0
"Hard to review this fine establishment.On one hand you can feel the very high quality ingredients, the professional cooking and the attention to the food and details.  The atmosphere is great. ","establishment,hand,quality,ingredients,cooking,attention,food,details,atmosphere",1,0,1,0
Great customer service. There was no wait. Food was delicious. That syrup on my waffles was a little robust. Id order again without it. Fro yo was great. BEC egg rolls were crunchy and tasty.,"customer,service,wait,food,syrup,waffles,egg,rolls",1,1,0,0
Good fast place to get your packages.,"place,packages",0,0,1,0
"Know I gave this 5 stars because the food is fantastic, or at least really impressed for a while, but now the service and creativity have taken a dip. Chalk it up to the pandemic, but the staff seem drugged out and disinterested...recently ","stars,food,service,creativity,dip,pandemic,staff",1,1,0,0
"Today we did brunch at @olmstednyc I follow their path from over two years ago and I visited today for a very first time. I cant wait to be back. Lovely food, literaly farm to table/ comfort food. OMG the Fro-Yo, the summer squash bread ","today,path,years,time,food,farm,comfort,summer,bread",1,0,0,0
"Olmsted is among the best restaurants in Brooklyn, and next door  The Trading Post is such a gem of a store for fresh made breads, wines and spirits (incl rtg cocktails), jams, cheeses, and seasonal fruit. Basically all the provisions you need for an awesome picnic and then some.","restaurants,door,gem,store,breads,wines,spirits,incl,rtg,cocktails,jams,cheeses,fruit,provisions,picnic",1,0,0,0
Finally booked a table and had an overall okay experience. Our server was amazing and was nice enough to comp two drinks for us as the kitchen got backed up and our food was really delayed. ,"table,experience,server,drinks,kitchen,food",1,1,1,0
"Excellent food and service. Everything is outstanding and with deep flavor thanks to perfect cooking and skillful combination of ingredients. The waffles with ice cream a favorite indulgence for a hot summer day, and the butternut squash ","food,service,flavor,thanks,cooking,combination,ingredients,waffles,cream,indulgence,summer,day",1,1,0,0
Decent food and cocktails. Although we had a weird moment on seating when we said we just needed a moment to have a sip of our drinks and a look of the menu before ordering. It was our anniversary and first night out dining since 2019 so we ,"food,cocktails,moment,seating,sip,drinks,look,menu,anniversary,night,dining",1,0,0,0
"Beautiful garden seating with solid food. The standout dish was the carrot crepe, but we didnt love most of the other dishes (duck, cornbread, soft shell crab). It felt like the dishes were 80% there (with a great presentation) but lacking ","garden,seating,food,standout,dish,carrot,crepe,dishes,duck,cornbread,shell,crab,%,presentation",1,0,0,0
Great and creative food. My group of 5 ordered 1 of everything on the menu and had a great time.,"food,group,menu,time",1,0,0,0
"The servers were incredibly nice and the good exceeded expectations. Interesting flavors, presentation, and atmosphere made the whole  meal great from start to finish. Not the cheapest meal, but if you're looking for a treat, this is it.","servers,expectations,flavors,presentation,atmosphere,meal,start,finish,treat",1,1,1,0
Great atmosphere for friends and family. Tasty and creative dishes and friendly staff.,"atmosphere,friends,family,dishes,staff",0,1,1,0
I would skip any pri frixe meals that they offer.  We went for the Mother's Day special and it was not worth it.  Portions were extremely small and all shared and the lamb was tasteless. ,"frixe,meals,lamb",1,0,0,0
"This was the first time we dined indoors in a restaurant since February of 2020. We were all finally fully vaccinated as of two weeks ago. Regardless, we still wore masks as did the restaurant staff. The cocktails were wonderful. The ","time,indoors,restaurant,weeks,masks,staff,cocktails",1,1,0,0
"There's the $28 for a single asparagus with a little sauce. Then there's the unexpected  10% ""Covid surcharge"" for ""PPE and sanitation"". Really?! ","asparagus,sauce,%,surcharge,sanitation",1,0,0,0
Prospect Heights highlight. Innovative and delicious food is served in this hipsteresque restaurant. Worthy of all their praise.,"highlight,food,restaurant,praise",1,0,0,0
"Fantastic, we had some dairy free /vegan dishes too as our son has an allergy, lovely . Friendly , knowledgeable staff.","dairy,dishes,son,allergy,staff",0,1,0,0
"I was disappointed by our meal at Olmsted. I went with another friend whos worked in the industry. Wed both heard good things and wanted to try. We ordered something from the snacks, from the mid-sized range and a larger plate. The ","meal,friend,industry,things,snacks,range,plate",1,0,0,0
"Olmsted has been on my bucket list for years and Im so glad I finally got to try it.  Their beef bourguignon was excellent, every bite just kept getting better.  The broccoli rabe tempura was super light and crispy, I could eat a whole ","bucket,list,years,beef,bourguignon,bite,broccoli,rabe,light",1,0,0,0
"I really love the whole concept behind Olmsted. It is a cozy place with their own garden. They produce most of their ingredients there, which is pretty amazing, considering that Olmsted is nested in the heart of Prospect Heights. You feel ","concept,place,garden,ingredients,heart",0,0,1,0
"Few restaurants in NYC that I would go back to twice just because there are so many to try, but Olmsted is on that ""go more than once"" list. We went pre-COVID, and the food was so good it set off an endless search of other Brooklyn ","restaurants,list,food,search",1,0,0,0
"Very good food, specially for steak.We had filet medallions, rosemary garlic potatoes and duck spring rolls.Steak was cooked to perfectly.The presentation was  entertaining.","food,steak,filet,medallions,garlic,potatoes,duck,spring,rolls,presentation",1,0,0,0
"First had dinner here a couple years ago, and it was exceptional: great food and great service.  Went again about six months later and the food was still good but our waiter seemed like he had places he would rather be.  Recently tried to ","dinner,couple,years,food,service,months,waiter,places",1,1,1,0
Great atmosphere and food to match.  Really enjoyable time with a group of friends here.,"atmosphere,food,time,group,friends",1,0,1,0
"I might assume that the chef is a specialist, and he could cook food excellently. I enjoyed taking pictures inside the restaurant because of their stunning interior, but what I liked most about this location is great service and great food. If you're looking for a five-star dining experience, you may need to visit this place.","chef,specialist,food,pictures,restaurant,interior,location,service,star,dining,experience,place",1,1,1,0
Food was phenomenal! Tasted very fresh and the atmosphere was nice. Recommend to anyone!,"food,atmosphere",1,0,1,0
I adore this venue a lot. there is a happy atmosphere. The cuisine is tasty. the service is effective and the waiters are friendly. The price is modest. I highly recommend.,"venue,lot,atmosphere,cuisine,service,waiters,price",0,1,1,1
"Quality of food is excellent, I could say that no other restaurants could compare the taste. They have professional creativity in designing food. I also love the view for it is fantastic. I had a great experience here!","quality,food,restaurants,taste,creativity,view,experience",1,0,1,0
Amazing! This restaurant was fabulous! Their staffs were very helpful and accommodating. The chef's cooked was very admirable on his very nice taste. He did excellently that day and it was remarkable. It melts my precious heart. I feel the happiness of the food He made. I am very grateful to Him for providing us great food.,"restaurant,staffs,chef,taste,day,heart,happiness,food",1,1,0,0
"Been wanting to try this restaurant for a while but don't think I'll return. If you're seated in the garden it's awkward to eat because there is no table was told that ""people do it all the time"" by the staff even though there is obviously ","restaurant,garden,table,people,time,staff",0,1,0,0
I ate brunch with a friend here before heading to the Botanical Garden. The service was outstanding. The staff were kind and attentive in just the right way. I was impressed with the fried chicken that was perfectly moist on the inside--i'm super critical about chicken!,"brunch,friend,service,staff,way,chicken,inside",1,1,0,0
Excellent food and well spaced out in the garden area for outdoor dining.,"food,garden,area,dining",1,0,0,0
Had high expectations. The food was below average but the garden setting is quite cozy,"expectations,food,garden,setting",1,0,0,0
Great food choices and atmosphere.  Wait staff super friendly.,"food,choices,atmosphere,staff",1,1,1,0
"Would def go back again. Super close to bk museum so its convenient. Delicious and well thought out dishes. You can tell they put a lot of time and energy into making the menu. We got the breakfast burger, duck duo, smoked salmon dish. Super yummy, cute atmosphere for dates or brunch with friends.","bk,museum,dishes,lot,time,energy,menu,breakfast,burger,duck,duo,salmon,atmosphere,dates,friends",1,0,1,0
"Best service, food, and kindness ever! All the way here from Milwaukee,NY and had a delicious experience here. Thank you for an incredible meal, drinks, and your great service.","service,food,kindness,way,experience,meal,drinks",1,1,1,0
"What a vibe! Located in the middle of Brooklyn's hot side street. So much going on with live music & dancing in the street, easy to get lost in the shuffle, if not playing attention. Waited for the hostess, as there are outside tables in ","vibe,middle,street,music,dancing,shuffle,attention,hostess,tables",0,1,1,0
"Excellent environment, warm atmosphere, very good service. The food is ok.","environment,atmosphere,service,food",1,1,1,0
Good food,food,1,0,0,0
"Stunning backyard seating. Seasonal salad (beets), ever changing side (squash romanesco). Get the chicken with plenty of sauces (ranch and hot sauce). Finish with the lavender froyo required.","backyard,seating,salad,beets,chicken,plenty,sauces,ranch,finish,froyo",1,0,0,0
"Unreasonably delicious. First time eating outside at a restaurant during covid-19 and it was a fantastic experience. Need to come back more often, not just for special occasions.","time,restaurant,experience,occasions",0,0,1,0
Our favorite place in Brooklyn,place,0,0,1,0
"Great service , flavorful food ","service,food",1,1,0,0
Fresh innovative food and wine  spectacular salads especially gem lettuceBut menu seems a little dumbed down and truncated,"food,wine,salads,menu,dumbed",1,0,0,0
"This review is kind of a difficult one to make for the service we received was outstanding and I am very grateful for the excellent service. My issue here is how small the dishes were, I felt that for a 350$ meal, the main dishes should not ","review,service,issue,dishes,meal",1,1,0,0
"Extremely Disappointed. They've changed their menu to what they call ""Summer Camp"" which is basically casual, Southern food and unfortunately it just doesn't work. ","menu,food",1,0,0,0
"We decided to try the Olmsted for a nice dinner. Our waiter, Raymond was superb! The steaks and vegetables were cooked the way we requested. The deserts were delicious. We all enjoyed our evening.","dinner,waiter,steaks,vegetables,way,deserts,evening",1,1,0,0
Amazing food,food,1,0,0,0
"Me and my friends  had a great time at this restaurant! Food was amazing and service as well. I recommend this place for the food, the atmosphere, and the wide range of dishes and beverages. We totally enjoyed our meal and spent a good time together. We will definitely come back here again!","friends,time,restaurant,food,service,place,atmosphere,range,dishes,beverages,meal",1,1,1,0
"I have been wanting to dine at Olmsted for quite awhile, and was lucky enough to snag a reservation a couple weeks ago.The food, atmosphere and service were fantastic! As a former hospitality worker, I've also been extremely impressed with ","reservation,couple,weeks,food,atmosphere,service,hospitality,worker",1,1,1,0
"Hands down the best meal I've had out in years, made all the more enjoyable by a terrific staff","hands,meal,years,staff",1,1,0,0
"Delicious, friendly staff, accommodating without compromising safety in the era of Covid. Must get the watermelon punch thing- its an ingenious idea and an experience. Also, recommend trying to sit in the back in their garden. Still fun sitting in the front, street side","staff,safety,era,watermelon,punch,idea,experience,garden,street",0,1,1,0
"Worst meal Ive ever had in nyc. All finger food (not over exaggerating... every item on the menu). Fried chicken was so dry and didnt come with sauce, inedible. Couldnt bite into the ribs without nearly breaking a tooth, beef skewers ","meal,finger,food,item,menu,chicken,sauce,ribs,tooth,beef,skewers",1,0,0,0
Nice place!,place,0,0,1,0
"We went back to this favorite yesterday.... what happened here? The service is bad, the food in unappealing. Please get back to what you used to be!","yesterday,service,food,unappealing",1,1,0,0
"I love this restaurant in normal times (the food and drinks are amazing), and I love this restaurant in COVID times. They recently opened a trading post/grocery store in the private dining space and are selling tons of things: veggies, meats, wines, breads, sauces, and more.","restaurant,times,food,drinks,trading,post,grocery,store,dining,space,tons,things,veggies,meats,wines,breads,sauces",1,0,0,0
Theyre offering free meal kits to restaurant workers who have been impacted by COVID-19. A real testament to their ethics. We need more folks like you. Thank you!,"meal,kits,restaurant,workers,testament,ethics,folks",1,0,0,0
Good food and big hearts. Thanks for all your service during this crazy time.,"food,hearts,thanks,service,time",1,1,0,0
Very friendly environment and they are very efficient. I never wait more than 10 minutes for my food. All around great place and great experience!,"environment,minutes,food,place,experience",1,0,1,0
"Considering what it takes to secure a dinner reservation here, I don't think it lives up to the hype. Service was attentive and dishes were creative,  but I wouldn't go out of my way to go there for dinner again unless it was a really ","dinner,reservation,hype,dishes,way",1,0,0,0
The most beautiful place in all NYWe've enjoyed our time there. Service and food are amazing!!We will come back soon,"place,time,service,food,amazing!!we",1,1,1,0
"Of course everyone is waiting for a table here. We had to arrive right at 5 without a reservation. The reputation is well earned: terrific cocktails, delicious small sharing plates, and fine selection of creative dishes, including excellent vegetarian options. Excellent service. Great atmosphere. Worth it.","table,reservation,reputation,cocktails,sharing,plates,selection,dishes,options,service,atmosphere",1,1,1,0
"The food is consistently fresh and flavorful, cashiers hands over good customer service. I love how neat it is and vibes. Keep up the good work.","food,cashiers,hands,customer,service,vibes,work",1,1,0,0
"Came with a couple of friends for brunch and everything we ordered surpassed our expectations. Not only was the food spectacular but the service was amazing. We had the butternut squash bread which was very moist and tasty, egg rolls tasted ","couple,friends,brunch,expectations,food,service,bread,egg,rolls",1,1,0,0
"This spot is great and broad, the food was delightful and the prices were very fair. quickly, effective service and very friendly staff. Recommended.","spot,food,prices,service,staff",1,1,1,1
"Great food, really nice vibe with zero attitude, amazing waitstaff, especially Shanoah!","food,vibe,attitude,waitstaff",1,1,0,0
"Been here a few times for both dinner and brunch. The back yard is just the best, such a tranquil vibe, perfect for enjoying a pre meal drink. The food is always divine - flavorful and perfectly executed.","times,dinner,brunch,yard,tranquil,vibe,meal,drink,food",1,1,0,0
"Went tonight for the third time it was not good. The service was great and we never had to ask for anything. However the meal was dull and flavorless. The dip for the lobster chips was cold and lumpy, the carrot crepe was fine, the ","tonight,time,service,meal,flavorless,dip,chips,carrot,crepe",1,1,0,0
"Absolutely incredible experience!The service was excellent, the food is interesting and fun.  If you have dinner in the dining room, have dessert on the patio! ","service,food,dinner,dining,room,patio",1,1,0,0
Just wao...the food was awesome.,food,1,0,0,0
"We had an excellent experience here January 2020. We ordered special scallop and crab toast appetizers. Entre we had chicken over mashed potatoes and special black cod. Everything was delicious, staff were very kind and professional. Need a reservation and add extra time for parking!","experience,scallop,crab,toast,appetizers,potatoes,cod,staff,reservation,time,parking",0,1,1,0
"Wow!! This restaurant is a must visit if ever in San  Francisco. A small place but, with an upscale Asian Fusion menu. Staff was welcoming, service was prompt everything on key.  Couldn't make up my mind want to order so, I ordered a little ","restaurant,place,menu,staff,service,key,mind",0,1,1,0
"I've been here numerous times with my wife. Always good, always interesting. Beef tartare was excellent along with the duck. Service was great which is the norm here. Cocktails were sublime and my one glass of wine was really pleasantly ","times,wife,beef,tartare,duck,norm,cocktails,glass,wine",1,0,0,0
"Definitely merits the hype. Came for a late brunch with a group of four and had a fantastic time and ate very well. Our server was friendly and attentive and the food was delicious. I love that even with a small menu, there was something ","hype,brunch,group,time,server,food,menu",1,1,0,0
Spectacular food and exceptional service.,"food,service",1,1,0,0
"Went for the big breakfast and it was good! Great place to go and enjoy a relaxing Sunday breakfast and a pot of tea. Prompt staff and friendly, well priced so go and have a go","breakfast,place,pot,tea,staff",1,1,1,0
I've wanted to eat here for months. We finally managed to get it together for brunch and honestly I was disappointed. No one wants to be the person who defies all the reviews and says they didn't like it. But I have to be honest. I have a ,"months,brunch,person,reviews",1,0,0,0
"Very friendly service from the second you open the door, made to feel very welcome. Fantastic food and drink, service with a smile. Highly recommended!","service,door,food,drink,smile",1,1,0,0
Maybe I'm just being too picky because I've tried homemade empanadas .. but this place seems average to me. ,place,0,0,1,0
"I got the buffalo chicken pizza. The toppings were awesome - the slice was not cheap on chicken or tomato. However, the crust could be better - it was also a very thick crust. Overall, the slice was solid and affordable ($3.50) but I've had many better slices in NY.","chicken,pizza,toppings,slice,tomato,crust,slices",1,0,0,0
Great experience. Expensive. But probably worth it.,experience,0,0,1,0
Amazing food and great service every visit.,"food,service,visit",1,1,0,0
"High quality eating experience, tucked mostly unassumingly in Prospect Heights. Good for a special date.Visit the back yard for a drink before your meal, or go after dinner for a cocktail & dessert. Skip the smores thing, you're better than that.","quality,experience,date,yard,drink,meal,dinner,cocktail,dessert,smores,thing",1,0,1,0
"If Michelin star meant great ambience, tasteful aesthetic, and good drinks then sure. Food was mediocre (dry latke), long wait for Vietnamese 'pizza', and small serving sizes not great for sharing. Front of house service (maitre'd) was overwhelmed but table server was extremely friendly.","star,ambience,drinks,food,latke,pizza,sizes,sharing,service,table,server",1,1,1,0
"Olmsted is the most consistently disappointing restaurant I go to. Everything is just not quite as good as it seems like it should be. I know a number of folks think of this place as an haute cuisine neighborhood gem, but I always think of it as that place where dishes fail to deliver on their ideas.","restaurant,number,folks,place,cuisine,neighborhood,gem,dishes,ideas",0,0,1,0
"The food is always good, they are really friendly (even to our kids) and the wine is delicious!","food,kids,wine",1,0,0,0
"Greg Baxtrom is a genius, and Olmsted is a testament to that fact. Simultaneously a neighborhood restaurant and world class dining experience, Olmsted delivers magic with every plate. Arrive early to enjoy an apertif in the backyard.","genius,testament,fact,neighborhood,restaurant,world,class,dining,experience,magic,plate,apertif,backyard",0,0,1,0
"This place was great. Food, service, atmosphere, everything. Special shout out to Emma who was excellent. Went above and beyond with service and conversation! Thank you!","place,food,service,atmosphere,shout,conversation",1,1,1,0
"Cosy place, really tasty brunch.","place,brunch",1,0,1,0
"Olmstead continues to excel with superlative service and creative, delicious food. It's a great spot for ""special"" meals (like birthdays or anniversaries) because the wait staff really knows how to make the meal feel like an event and ","service,food,spot,meals,birthdays,anniversaries,wait,staff,event",1,1,1,0
"We had an enjoyable dinner last night at Olmsted! Our server was a delight, very professional, attentive, and friendly.","dinner,night,server,delight",1,1,0,0
"Our brunch was delicious. Vietnamese pizza, Duck sausage with eggs, Kathi roll and bacon rolled eggs were all very good. Minor thing- I think they sprinkle salt on the egg role, one of my times has extra salt. The drinks were also very well ","brunch,pizza,sausage,eggs,roll,bacon,thing-,salt,role,times,drinks",1,0,0,0
"Creativity is the name of the game at this homey Brooklyn spot. There are a number of brilliant, how-did-they-think-of-this dishes, and prices are shockingly affordable for the quality of food served. It's a very intimate restaurant with a good sized backyard that also offers diners seating. The hype is legit.","creativity,game,number,dishes,prices,quality,food,restaurant,backyard,diners,seating,hype",1,0,0,1
Food is amazing! Can't wait to go back. A+,food,1,0,0,0
The Beef Tartare and bread are what food dreams are made of......,"bread,food,dreams",1,0,0,0
"Service is great, however, after waiting several weeks for this meal I was left feeling underwhelmed. Carrot crepe felt like pool of sauce with thin wet crepe draped on top. None of the other four dishes were memorable . For the price the ","service,weeks,meal,crepe,pool,sauce,dishes,price",1,1,0,1
Brooklyn favorite. Contemporary american food in a trendy comfortable setting.,"food,setting",1,0,0,0
"Beautiful place, top notch food and dining experience for me.","place,food,dining,experience",1,0,1,0
"I was extremely skeptical of Olmsteds reputation as NYCs highest-rated brunch place (Zagat 2020) and when I entered the restaurant, I was initially disappointed by its unassuming appearance. But I got to say - the food is amazing! You can ","reputation,brunch,place,restaurant,appearance,food",1,0,1,0
"Great variety of food and drinks which change seasonally. Really cute backyard and awesome staff. A bit pricey, but the prices make sense for the quality of the food. Great place to go for a special occasion.","variety,food,drinks,backyard,staff,bit,prices,sense,quality,place,occasion",1,1,1,1
Super super slow service. Vegetarian options are an afterthought.,"service,options,afterthought",0,1,0,0
"Having lived in the neighborhood for over 7 years, I was a bit stunned about having to have reservations on a Tuesday for a restaurant in BK. That was the first red flag, but the place is pretty lax and they always try to accommodate. ","neighborhood,years,bit,reservations,restaurant,flag,place",0,0,1,0
food is good enough and the space is beautiful. but the big problem is that the portions are a joke. that seems to be a trend with these upscale places. the quality of food just does not justify the price it comes at. small bites for big checks.,"food,space,problem,portions,joke,trend,places,quality,price,bites,checks",1,0,1,1
Delicious food. Impeccable service. Nice atmosphere. Fair prices for 2 star Michelin restaurant.,"food,service,atmosphere,prices,star,restaurant",1,1,1,1
"Nice atmosphere, friendly staff, and most importantly delicious food. Im not really a breakfast or brunch person, but I enjoyed a handful of the brunch menu items at Olmsted.","atmosphere,staff,food,breakfast,person,handful,brunch,menu,items",1,1,1,0
"Great patio, attentive service and excellent brunch food.","patio,service,brunch,food",1,1,0,0
We were treated like royalty!  The food was delicious and the staff was so gracious...,"royalty,food,staff",1,1,0,0
"Ordered a 2018 bottle of white wine, just to find out that came open to the table and I saw the waiter pour half a glass for himself, when I asked how it was, he responded that he wanted to make sure he was not serving a corked wine. This ","bottle,wine,table,waiter,glass",0,1,0,0
This place is the real deal and is truly worth the long wait for a dinner reservation. The meal feels like a fusion of farm-to-table and tapas: a short but very diverse menu of small plates of locally sourced ingredients prepared to ,"place,deal,wait,dinner,reservation,meal,fusion,farm,table,tapas,menu,plates,ingredients",1,1,1,0
Beautiful restaurant with fantastic food.,"restaurant,food",1,0,0,0
"The food was hit and miss, which combined with the very average wine means I probably wont go back. Server was great though and its a nice place to spend time. Chicken fried mushrooms, lobster crackers with Swiss chard dip and lamb chakna ","food,wine,place,time,mushrooms,lobster,crackers,chard,dip",1,0,1,0
"Surprising and inventive food. We ordered the watermelon sushi, lobster crackers & swiss chard dip, kale crab rangoon, carrot crepe, duck breast & scotched fig, and the old school chocolate mousse. My favorites were the lobster crackers & ","food,watermelon,carrot,crepe,duck,breast,fig,school,chocolate,mousse,favorites,crackers",1,0,0,0
Delicious food. Impeccable service. Nice atmosphere. Fair prices for 2 star Michelin restaurant.,"food,service,atmosphere,prices,star,restaurant",1,1,1,1
"This restaurant is my favorite restaurant.  Of all restaurants I know I like it most. I always suggests to my friends to go to that place. everytime  I feel like having a good supper, this restaurant comes first to my mind. superb and many ","restaurant,restaurants,friends,place,supper,mind,superb",0,0,1,0
"Great food, they have a nice garden outside as well.","food,garden",1,0,0,0
This restaurant is a hidden gem. Well worth a de-tour. Great service and fantastic food.,"restaurant,gem,de,-,tour,service,food",1,1,0,0
Been wanting to go here for ages and finally had a chance. We were lucky to get seats at the bar without a reservation. Service was good but the food just wasn't what it's been hyped up to be. Really underwhelming.,"ages,chance,seats,bar,reservation,food",1,0,0,0
"Great vibe! Interesting menu and delicate food! Chef definitely put a lot effort. The starter duck mousse and yogurt are pretty good. Duck sausage and egg is worth trying too, a bit salty for me tho.","vibe,menu,food,lot,effort,duck,mousse,yogurt,duck,sausage,egg,bit",1,1,0,0
"Creative, delicious.  Great staff.  Looking forward to next visit","staff,visit",0,1,0,0
"We were in from out of town and with the endless possibilities of where to dine, I turned to Eater. Olmsted was also within walking distance of our hotel and Monday evening they only do walk-ins; perfect! Service was great, food was ","town,possibilities,distance,hotel,evening,walk,ins,food",1,0,0,0
"Decor, atmosphere, and service are amazing. The food, while creative, didn't live up to the hype.","atmosphere,service,food,hype",1,1,1,0
"Great service, great food, lovely atmosphere.   Kind of place I'd love to bring anyone and everyone.  I'll come back for sure!","service,food,atmosphere,kind,place",1,1,1,0
"Decent prices, grest customer dervice, friendly environment and yummy food.","prices,customer,dervice,environment,food",1,0,0,1
Really inventive and thoughtful food in a beautiful space,"food,space",1,0,0,0
"There was something a little odd about our Olmsted experience tonight. We arrived super hungry, so attempted to order snacks with our cocktails while we decided on our remaining dishes. We were told, ""it's better if you order everything at ","experience,tonight,snacks,cocktails,dishes",1,0,1,0
"While in NY you might encounter many overhyped, so-so, wanna be restaurants. That can happen actually anywhere. Not in Olmsted, this guys put in the table a food and service worth every penny you spend on it and even more. From the scallops ","ny,restaurants,guys,table,food,service,penny,scallops",1,1,0,0
"Absolutely special in every way! Amazing staff, friendly, ultra professional, and extremely knowledgeable at their crafts.  Everything was expertly prepared and presented. OUTSTANDING!!! Even the restroom was beautiful.","way,staff,crafts,restroom",0,1,0,0
Service is 10/10 food is 10/10. Pleasant experiences here.,"service,food,experiences",1,1,1,0
